상품명,URL,요약정보,여행도시,리뷰_평균점수,식사,가성비,가이드,숙소,일정,이동수단,상품명_리뷰수, 10대 이하,20대,30대,40대,50대,60대 이상 ,가족여행,나혼자,단체여행,친구들과,커플
[$150상당 옵션포함][성인4인기준][3대 야경투어+케이블카+바구니배+전신마사지]푸꾸옥 뉴 패키지 3박5일 [베스트웨스턴풀빌라/쇼핑2회],https://www.modetour.com/package/95916519,"3박5일,제주항공직항,쇼핑 2회,가이드 경비$40,선택관광있음,자유일정포함",푸꾸옥,3.9,0,0,15,0,10,0,33,0,0,5,9,19,0,18,0,0,10,5
[$150상당 옵션포함][성인4인기준][3대 야경투어+케이블카+바구니배+전신마사지]푸꾸옥 뉴 패키지 4박6일 [베스트웨스턴풀빌라/쇼핑2회],https://www.modetour.com/package/95916525,"4박6일,비엣젯 항공직항,쇼핑 2회,가이드 경비$40,선택관광있음,자유일정포함",푸꾸옥,3.9,0,0,3,0,2,0,7,0,0,1,2,4,0,4,0,0,2,1
[$150상당특전/단독행사/호핑/반딧불] 코타키나발루 르메르디앙(어반룸) 3박 5일,https://www.modetour.com/package/86886050,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함",코타키나발루,5,0,0,0,0,1,0,3,0,0,0,2,0,1,2,0,0,1,0
[$150상당특전/단독행사/호핑/반딧불] 코타키나발루 샹그릴라 라사리아(가든윙 가든뷰) 3박 5일,https://www.modetour.com/package/86886170,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함",코타키나발루,5,0,0,0,0,1,0,3,0,0,0,2,0,1,2,0,0,1,0
[$150상당특전/단독행사/호핑/반딧불] 코타키나발루 샹그릴라 탄중아루(키나윙 씨뷰) 3박 5일,https://www.modetour.com/package/86886190,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함",코타키나발루,5,0,0,0,0,2,0,5,0,0,0,4,0,1,4,0,0,1,0
[$150상당특전/단독행사/호핑/반딧불] 코타키나발루 수트라하버 마젤란(씨뷰) 3박 5일,https://www.modetour.com/package/86886090,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함",코타키나발루,5,0,0,0,0,1,0,3,0,0,0,2,0,1,2,0,0,1,0
[$150상당특전/단독행사/호핑/반딧불] 코타키나발루 수트라하버 퍼시픽(골프뷰) 3박 5일,https://www.modetour.com/package/86886150,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함",코타키나발루,5,0,0,0,0,1,0,3,0,0,0,2,0,1,2,0,0,1,0
[$150상당특전/단독행사/호핑/반딧불] 코타키나발루 프로메네이드(슈페리어) 3박 5일,https://www.modetour.com/package/86886030,"3박5일,티웨이 항공직항,쇼핑 3회,가이드 경비$40,선택관광있음,자유일정포함",코타키나발루,5,0,0,0,0,1,0,3,0,0,0,2,0,1,2,0,0,1,0
[$155상당특전/호핑+시내관광] 세부 솔레아 프리미어씨티 3박5일 [리조트디너1회/워터파크],https://www.modetour.com/package/86747559,"3박5일,제주항공직항,쇼핑 3회,가이드 경비$50,선택관광있음,자유일정포함",세부,4.5,6,3,54,18,27,0,138,0,3,9,33,15,3,42,0,12,9,0
[$160상당특전+노쇼핑+노팁+호핑+라운지] 코타키나발루 그란디스(슈페리어) 3박5일,https://www.modetour.com/package/91869259,"3박5일,에어아시아직항,쇼핑 없음,가이드 경비없음,선택관광있음,자유일정포함",코타키나발루,4.8,8,0,85,16,32,8,162,0,2,6,10,11,1,18,0,0,7,5
